age;sex;studytime;failures;absences;G1;G2;G3;predicted_pass;risk_score;risk_level;pass_actual
16;F;2;0;2;13;13;13;1;0.003;Vert;1
16;M;1;0;18;14;11;13;1;0.03;Vert;1
16;F;2;0;0;8;7;8;0;0.683;Orange;0
15;M;1;0;0;13;13;12;1;0.02;Vert;1
15;F;2;0;0;7;10;11;1;0.165;Vert;1
19;F;2;3;2;7;8;9;0;0.92;Rouge;0
18;M;1;2;0;7;4;0;0;0.99;Rouge;0
16;M;1;0;8;18;18;18;1;0.02;Vert;1
15;F;3;2;0;12;0;0;0;0.842;Rouge;0
15;F;1;0;0;8;0;0;0;0.89;Rouge;0
17;F;1;0;12;10;13;12;1;0.13;Vert;1
16;F;1;0;16;12;11;11;1;0.0;Vert;1
15;M;2;0;0;9;0;0;0;0.908;Rouge;0
15;F;3;0;0;11;0;0;0;0.864;Rouge;0
17;M;2;0;0;10;0;0;0;0.904;Rouge;0
16;F;1;2;0;4;0;0;0;0.89;Rouge;0
16;M;2;1;0;14;12;12;1;0.015;Vert;1
15;F;1;0;0;16;16;15;1;0.03;Vert;1
15;M;4;0;0;7;9;0;0;0.7;Rouge;0
16;M;1;2;8;9;9;9;0;0.72;Rouge;0
15;F;3;0;2;9;11;11;1;0.076;Vert;1
16;F;1;0;2;14;14;13;1;0.05;Vert;1
17;M;1;3;0;5;0;0;0;0.98;Rouge;0
15;F;2;0;0;8;11;11;1;0.21;Vert;1
15;F;2;3;0;6;7;0;0;0.939;Rouge;0
15;F;2;0;2;10;11;11;1;0.077;Vert;1
16;M;1;0;0;7;6;0;0;0.98;Rouge;0
15;M;1;3;0;8;9;10;1;0.17;Vert;1
18;M;1;3;0;6;5;0;0;0.97;Rouge;0
16;M;1;1;6;12;13;14;1;0.06;Vert;1
15;F;3;2;8;10;10;10;1;0.126;Vert;1
19;M;1;3;0;5;0;0;0;0.98;Rouge;0
17;F;1;0;0;11;11;12;1;0.062;Vert;1
15;M;2;0;2;11;8;8;0;0.52;Orange;0
17;M;1;0;8;16;12;13;1;0.03;Vert;1
18;F;1;3;6;9;8;10;0;0.76;Rouge;1
16;M;1;0;2;17;15;15;1;0.0;Vert;1
16;M;2;1;4;10;12;12;1;0.091;Vert;1
17;M;1;2;0;7;6;0;0;0.95;Rouge;0
15;M;2;2;6;5;9;7;0;0.87;Rouge;0
16;M;1;1;0;7;0;0;0;0.94;Rouge;0
17;M;1;0;2;10;10;10;1;0.025;Vert;1
17;M;2;3;0;5;8;7;0;0.95;Rouge;0
16;M;1;1;16;12;11;12;1;0.06;Vert;1
16;M;2;0;4;10;10;10;1;0.132;Vert;1
16;F;2;0;0;14;15;16;1;0.006;Vert;1
16;F;2;0;0;6;7;0;0;0.916;Rouge;0
16;F;2;0;0;14;14;14;1;0.002;Vert;1
16;M;1;2;0;6;5;0;0;0.94;Rouge;0
16;M;2;0;2;13;15;16;1;0.02;Vert;1
17;M;2;0;0;13;11;10;1;0.03;Vert;1
16;F;2;3;0;8;7;0;0;0.968;Rouge;0
16;F;2;0;4;10;11;9;0;0.63;Orange;0
17;M;2;0;4;10;9;9;0;0.794;Rouge;0
16;F;2;0;2;13;13;11;1;0.0;Vert;1
17;M;2;0;4;6;5;6;0;0.885;Rouge;0
16;M;1;0;10;10;8;9;0;0.863;Rouge;0
17;M;2;0;4;10;10;11;1;0.066;Vert;1
16;M;2;0;10;9;8;8;0;0.92;Rouge;0
16;M;2;0;2;12;13;12;1;0.0;Vert;1
17;F;2;0;0;16;17;17;1;0.03;Vert;1
17;F;2;0;56;9;9;8;0;0.872;Rouge;0
16;F;2;0;14;12;13;12;1;0.02;Vert;1
17;M;2;0;12;12;12;11;1;0.0;Vert;1
16;M;1;0;2;11;12;11;1;0.02;Vert;1
16;M;2;0;0;15;15;15;1;0.02;Vert;1
17;F;2;0;6;8;7;9;0;0.98;Rouge;0
17;M;2;0;4;8;9;10;1;0.251;Vert;1
16;F;2;0;10;11;12;13;1;0.0;Vert;1
17;F;2;0;0;8;8;9;0;0.93;Rouge;0
17;M;2;0;12;7;8;8;0;0.945;Rouge;0
16;M;1;0;8;8;9;10;0;0.563;Orange;1
16;M;1;0;0;13;14;14;1;0.0;Vert;1
17;F;2;0;0;14;15;15;1;0.005;Vert;1
17;M;1;0;4;17;15;16;1;0.0;Vert;1
16;M;1;0;8;9;9;10;1;0.275;Vert;1
17;F;1;1;24;18;18;18;1;0.04;Vert;1
16;F;2;0;0;9;9;10;1;0.304;Vert;1
16;F;2;0;2;16;16;16;1;0.02;Vert;1
16;F;2;0;6;8;10;10;1;0.101;Vert;1
17;F;2;0;4;9;9;10;1;0.16;Vert;1
17;F;1;0;18;7;6;6;0;0.949;Rouge;0
16;F;4;0;6;10;10;11;1;0.183;Vert;1
17;F;3;1;28;10;9;9;0;0.89;Rouge;0
16;F;2;3;5;7;7;7;0;0.959;Rouge;0
16;F;2;0;10;11;12;13;1;0.022;Vert;1
16;F;1;0;6;9;9;10;1;0.145;Vert;1
17;F;3;0;6;7;7;7;0;0.923;Rouge;0
19;F;4;0;10;8;8;8;0;0.993;Rouge;0
17;M;2;0;13;12;12;13;1;0.02;Vert;1
16;F;2;0;0;12;13;14;1;0.03;Vert;1
18;M;2;1;15;6;7;8;0;0.975;Rouge;0
17;F;1;0;12;8;10;10;1;0.063;Vert;1
17;F;2;0;2;14;15;15;1;0.03;Vert;1
17;F;2;2;22;6;6;4;0;0.93;Rouge;0
18;M;2;1;13;6;6;8;0;0.96;Rouge;0
17;F;1;0;3;7;7;8;0;0.869;Rouge;0
17;F;3;0;4;9;10;10;1;0.125;Vert;1
17;F;2;0;2;6;6;6;0;0.938;Rouge;0
17;F;3;1;0;6;5;0;0;0.99;Rouge;0
16;F;2;0;2;16;16;17;1;0.03;Vert;1
18;M;2;0;0;12;13;13;1;0.08;Vert;1
16;F;3;0;0;13;13;14;1;0.0;Vert;1
18;F;2;1;16;9;8;7;0;0.95;Rouge;0
17;F;2;0;10;16;15;15;1;0.0;Vert;1
17;M;2;0;2;12;11;12;1;0.01;Vert;1
18;M;2;0;14;10;8;9;0;0.87;Rouge;0
17;F;3;0;10;12;10;12;1;0.053;Vert;1
17;F;2;0;14;13;13;14;1;0.013;Vert;1
17;M;2;0;4;11;11;11;1;0.001;Vert;1
17;M;2;0;14;11;9;9;0;0.8;Rouge;0
16;M;2;0;2;14;13;13;1;0.0;Vert;1
16;M;2;0;18;9;7;6;0;0.72;Rouge;0
16;M;3;0;10;11;9;10;1;0.19;Vert;1
17;M;2;0;4;14;13;13;1;0.02;Vert;1
16;F;1;0;20;13;12;12;1;0.036;Vert;1
17;F;2;0;2;13;11;11;1;0.02;Vert;1
18;M;2;1;0;7;7;0;0;0.9;Rouge;0
17;M;2;0;14;12;12;12;1;0.01;Vert;1
17;M;2;0;2;10;11;12;1;0.078;Vert;1
16;M;1;0;0;6;0;0;0;0.97;Rouge;0
16;M;1;0;0;13;12;12;1;0.0;Vert;1
18;F;3;0;0;7;0;0;0;0.97;Rouge;0
16;M;1;0;6;18;18;18;1;0.02;Vert;1
17;M;1;0;4;12;12;13;1;0.0;Vert;1
22;M;1;3;16;6;8;8;0;0.9;Rouge;0
18;M;2;1;8;3;5;5;0;0.97;Rouge;0
16;M;1;0;0;13;15;15;1;0.02;Vert;1
18;M;1;1;0;6;8;8;0;0.98;Rouge;0
16;M;2;0;6;7;10;10;1;0.113;Vert;1
18;M;1;1;4;6;9;8;0;0.9;Rouge;0
16;M;1;0;0;8;9;8;0;0.86;Rouge;0
17;M;1;0;0;8;12;12;1;0.095;Vert;1
17;M;1;1;2;7;9;8;0;0.66;Orange;0
17;F;4;0;6;14;12;13;1;0.0;Vert;1
19;M;2;0;12;11;11;11;1;0.02;Vert;1
18;M;2;0;8;15;14;14;1;0.03;Vert;1
17;F;4;0;0;10;9;0;0;0.804;Rouge;0
18;F;2;0;21;17;18;18;1;0.02;Vert;1
18;M;2;0;2;8;8;8;0;0.933;Rouge;0
18;M;3;0;1;13;12;12;1;0.01;Vert;1
17;F;3;0;4;10;9;9;0;0.771;Rouge;0
18;F;3;0;0;9;10;0;0;0.675;Orange;0
18;M;2;0;13;17;17;17;1;0.05;Vert;1
17;M;2;0;2;9;9;10;1;0.179;Vert;1
18;F;2;0;8;12;10;11;1;0.032;Vert;1
18;M;2;0;10;10;9;10;1;0.323;Vert;1
18;F;2;0;0;6;0;0;0;0.98;Rouge;0
19;F;2;2;15;9;9;9;0;0.878;Rouge;0
18;F;4;0;4;15;14;14;1;0.02;Vert;1
18;F;2;0;2;11;11;11;1;0.05;Vert;1
17;M;2;0;2;15;14;14;1;0.02;Vert;1
17;F;2;0;2;10;10;10;1;0.088;Vert;1
17;F;2;0;6;12;12;12;1;0.04;Vert;1
18;F;2;0;75;10;9;9;0;0.859;Rouge;0
18;M;1;0;22;9;9;9;0;0.81;Rouge;0
18;F;2;1;15;9;8;8;0;0.982;Rouge;0
18;M;1;0;8;10;11;10;1;0.059;Vert;1
17;M;1;0;30;8;8;8;0;0.88;Rouge;0
17;M;1;1;19;11;9;10;1;0.19;Vert;1
18;F;4;0;1;12;12;12;1;0.032;Vert;1
18;F;2;0;4;8;9;10;1;0.22;Vert;1
17;F;2;0;4;10;9;11;1;0.253;Vert;1
17;M;2;0;2;12;10;11;1;0.04;Vert;1
18;F;3;0;5;18;18;19;1;0.01;Vert;1
17;F;3;0;6;13;12;12;1;0.01;Vert;1
18;M;3;0;6;15;14;14;1;0.0;Vert;1
18;M;2;0;9;15;13;15;1;0.01;Vert;1
18;M;2;0;11;12;11;11;1;0.012;Vert;1
17;F;3;0;0;15;15;15;1;0.0;Vert;1
18;F;2;1;12;12;12;13;1;0.01;Vert;1
17;F;4;0;6;18;18;18;1;0.01;Vert;1
18;M;3;0;8;14;13;14;1;0.002;Vert;1
17;M;1;0;4;14;12;11;1;0.001;Vert;1
19;F;2;0;0;10;9;0;0;0.915;Rouge;0
18;F;2;0;10;10;8;8;0;0.854;Rouge;0
18;F;4;0;0;14;13;14;1;0.01;Vert;1
18;M;1;0;5;16;15;16;1;0.01;Vert;1
18;F;2;0;14;12;10;11;1;0.042;Vert;1
17;M;1;0;0;11;11;10;1;0.01;Vert;1
17;F;3;0;0;15;12;14;1;0.0;Vert;1
17;F;4;0;0;17;17;18;1;0.0;Vert;1
19;M;2;1;20;15;14;13;1;0.04;Vert;1
18;F;2;1;8;14;12;12;1;0.014;Vert;1
20;M;1;0;0;17;18;18;1;0.01;Vert;1
19;M;1;1;38;8;9;8;0;0.795;Rouge;0
19;M;2;1;0;15;12;12;1;0.0;Vert;1
19;F;2;1;18;12;10;10;1;0.134;Vert;1
19;F;2;1;0;9;9;0;0;0.93;Rouge;0
19;F;2;0;20;14;12;13;1;0.03;Vert;1
19;M;2;1;3;13;11;11;1;0.03;Vert;1
19;F;2;1;22;13;10;11;1;0.05;Vert;1
19;F;3;2;14;15;13;13;1;0.046;Vert;1
19;F;3;1;40;13;11;11;1;0.022;Vert;1
18;F;2;0;0;8;8;0;0;0.787;Rouge;0
18;F;3;0;9;9;10;9;1;0.393;Vert;0
17;F;3;0;0;11;11;10;1;0.032;Vert;1
18;F;2;0;2;11;11;11;1;0.04;Vert;1
17;F;2;0;23;13;13;13;1;0.02;Vert;1
17;F;2;0;12;11;9;9;0;0.728;Rouge;0
17;F;3;0;3;11;11;11;1;0.012;Vert;1
17;F;3;0;1;12;14;15;1;0.04;Vert;1
17;F;3;0;0;16;15;15;1;0.03;Vert;1
18;M;3;0;3;9;12;11;1;0.124;Vert;1
17;M;1;0;3;14;15;16;1;0.0;Vert;1
17;M;1;0;8;11;10;10;1;0.06;Vert;1
17;F;3;0;7;10;9;9;0;0.765;Rouge;0
17;F;3;0;4;14;14;14;1;0.0;Vert;1
18;M;4;0;2;9;8;8;0;0.868;Rouge;0
17;F;3;0;7;12;14;14;1;0.012;Vert;1
18;F;2;0;0;7;0;0;0;0.98;Rouge;0
18;F;2;0;0;8;8;0;0;0.968;Rouge;0
18;F;4;0;0;10;9;0;0;0.678;Orange;0
17;F;3;0;16;16;15;15;1;0.02;Vert;1
19;F;3;1;12;14;13;13;1;0.02;Vert;1
17;F;2;0;0;7;8;0;0;0.968;Rouge;0
18;F;4;0;7;16;15;17;1;0.01;Vert;1
17;F;2;0;4;9;10;10;1;0.113;Vert;1
19;F;3;1;4;11;12;11;1;0.03;Vert;1
18;M;2;1;0;10;10;0;0;0.645;Orange;0
18;M;2;0;11;16;15;15;1;0.0;Vert;1
17;F;2;1;0;9;8;0;0;0.95;Rouge;0
18;F;3;0;4;11;10;10;1;0.03;Vert;1
18;F;3;0;7;13;13;14;1;0.01;Vert;1
18;M;3;0;9;16;15;16;1;0.0;Vert;1
18;M;3;0;0;10;10;9;0;0.792;Rouge;0
17;F;3;0;0;13;15;15;1;0.02;Vert;1
18;M;1;1;10;11;13;13;1;0.02;Vert;1
19;M;2;3;8;8;7;8;0;0.955;Rouge;0
17;M;2;0;2;13;13;13;1;0.01;Vert;1
18;M;1;1;7;8;7;8;0;0.93;Rouge;0
19;M;1;1;4;8;8;8;0;0.905;Rouge;0
17;M;2;0;4;13;11;11;1;0.041;Vert;1
18;F;2;0;0;10;9;9;0;0.852;Rouge;0
17;F;2;0;4;12;13;13;1;0.0;Vert;1
17;F;2;0;2;12;12;11;1;0.04;Vert;1
18;M;1;0;4;10;10;10;1;0.2;Vert;1
18;F;3;0;0;18;16;16;1;0.01;Vert;1
18;F;2;0;0;13;13;13;1;0.04;Vert;1
18;M;2;1;2;13;12;12;1;0.05;Vert;1
18;F;2;0;0;11;11;10;1;0.03;Vert;1
17;F;2;0;0;16;15;15;1;0.012;Vert;1
17;F;2;0;0;12;11;12;1;0.08;Vert;1
18;M;2;0;4;10;10;10;1;0.127;Vert;1
18;M;3;0;0;13;13;13;1;0.02;Vert;1
17;F;1;1;0;7;6;0;0;0.9;Rouge;0
18;F;1;0;0;11;10;10;1;0.07;Vert;1
18;F;2;0;10;14;12;11;1;0.0;Vert;1
19;F;2;2;4;7;7;9;0;0.873;Rouge;0
18;M;1;0;3;14;12;12;1;0.08;Vert;1
17;F;3;0;8;13;11;11;1;0.029;Vert;1
17;F;1;0;14;6;5;5;0;0.88;Rouge;0
18;F;3;0;0;19;18;19;1;0.01;Vert;1
18;F;3;0;2;8;8;10;0;0.83;Rouge;1
20;F;3;2;4;15;14;15;1;0.07;Vert;1
18;F;2;0;4;8;9;10;0;0.567;Orange;1
18;F;2;0;0;15;15;15;1;0.0;Vert;1
17;F;2;0;17;10;10;10;1;0.113;Vert;1
18;M;2;0;4;15;14;14;1;0.0;Vert;1
18;M;1;0;5;7;6;7;0;0.922;Rouge;0
17;M;2;0;2;11;11;10;1;0.01;Vert;1
19;M;1;1;0;6;5;0;0;0.97;Rouge;0
18;M;1;1;14;6;5;5;0;0.87;Rouge;0
18;F;3;0;2;10;9;10;1;0.18;Vert;1
18;F;1;0;7;6;5;6;0;0.845;Rouge;0
19;F;3;1;0;7;5;0;0;0.975;Rouge;0
18;F;2;0;0;7;9;8;0;0.839;Rouge;0
18;F;2;1;0;6;5;0;0;0.94;Rouge;0
20;M;2;2;11;9;9;9;0;0.543;Orange;0
17;M;1;0;3;14;16;16;1;0.04;Vert;1
21;M;1;3;3;10;8;7;0;0.84;Rouge;0
18;M;1;0;0;11;12;10;1;0.07;Vert;1
19;M;1;0;5;8;9;9;0;0.81;Rouge;0
